Timestamp,Point_Index,Attempt_Index,Correct_Direction,Responded_Direction,Status
2026-02-27 15:50:46.109,0,0,NW,W,ongoing
2026-02-27 15:50:53.797,0,1,NW,NW,ongoing
2026-02-27 15:51:00.800,0,2,NW,NW,ongoing
2026-02-27 15:51:07.716,0,3,N,N,ongoing
2026-02-27 15:51:09.452,0,4,N,N/A,success
2026-02-27 15:51:15.132,1,0,E,NE,ongoing
2026-02-27 15:51:22.186,1,1,S,SE,ongoing
2026-02-27 15:51:29.740,1,2,W,SW,ongoing
2026-02-27 15:51:38.697,1,3,N,NE,ongoing
2026-02-27 15:51:45.710,1,3,W,NW,ongoing
2026-02-27 15:51:55.445,1,4,S,SE,ongoing
2026-02-27 15:52:03.526,1,4,W,W,ongoing
2026-02-27 15:52:05.277,1,4,W,N/A,success
2026-02-27 15:52:10.525,2,0,NE,NE,ongoing
2026-02-27 15:52:17.719,2,1,NE,NE,ongoing
2026-02-27 15:52:19.677,2,2,NE,N/A,success
2026-02-27 15:52:24.703,3,0,SE,SE,ongoing
2026-02-27 15:52:32.883,3,1,SE,SE,ongoing
2026-02-27 15:52:41.063,3,2,SE,SE,ongoing
2026-02-27 15:52:48.964,3,4,SE,SE,ongoing
2026-02-27 15:52:50.922,3,5,SE,N/A,success
2026-02-27 15:52:56.338,4,0,S,SE,ongoing
2026-02-27 15:53:03.226,4,1,SW,SW,ongoing
2026-02-27 15:53:05.185,4,2,SW,N/A,success
2026-02-27 15:53:09.753,5,0,SW,SW,ongoing
2026-02-27 15:53:16.251,5,1,SW,SW,ongoing
2026-02-27 15:53:22.571,5,2,SW,SW,ongoing
2026-02-27 15:53:24.529,5,3,SW,N/A,success
2026-02-27 15:53:29.112,6,0,W,W,ongoing
2026-02-27 15:53:35.888,6,1,W,W,ongoing
2026-02-27 15:53:37.638,6,1,W,N/A,success
2026-02-27 15:53:42.193,7,0,N,N,ongoing
2026-02-27 15:53:43.942,7,0,N,N/A,success
2026-02-27 15:53:48.664,8,0,SW,SW,ongoing
2026-02-27 15:53:50.622,8,1,SW,N/A,success
2026-02-27 15:53:56.176,9,0,SE,SE,ongoing
2026-02-27 15:54:02.995,9,1,SE,SE,ongoing
2026-02-27 15:54:04.953,9,2,SE,N/A,success
