Timestamp,Point_Index,Attempt_Index,Correct_Direction,Responded_Direction,Status
2026-03-06 16:04:36.755,0,0,SW,W,ongoing
2026-03-06 16:04:43.004,0,1,S,SE,ongoing
2026-03-06 16:04:52.754,0,2,W,W,ongoing
2026-03-06 16:04:54.503,0,2,W,N/A,success
2026-03-06 16:04:59.322,1,0,SE,SE,ongoing
2026-03-06 16:05:05.725,1,1,SE,SE,ongoing
2026-03-06 16:05:07.684,1,1,SE,N/A,success
2026-03-06 16:05:12.656,2,0,E,SE,ongoing
2026-03-06 16:05:18.308,2,1,N,N,ongoing
2026-03-06 16:05:20.058,2,1,N,N/A,success
2026-03-06 16:05:26.044,3,0,SE,E,ongoing
2026-03-06 16:05:33.113,3,1,SE,SE,ongoing
2026-03-06 16:05:39.237,3,2,SE,SE,ongoing
2026-03-06 16:05:45.932,3,3,SE,SE,ongoing
2026-03-06 16:05:52.765,3,4,S,SW,ongoing
2026-03-06 16:06:00.695,3,5,E,SE,ongoing
2026-03-06 16:06:06.154,3,6,N,N,ongoing
2026-03-06 16:06:07.903,3,6,N,N/A,success
2026-03-06 16:06:13.375,4,0,S,SE,ongoing
2026-03-06 16:06:19.541,4,1,SW,SW,ongoing
2026-03-06 16:06:21.500,4,1,SW,N/A,success
2026-03-06 16:06:26.277,5,0,SW,W,ongoing
2026-03-06 16:06:33.402,5,1,SW,SW,ongoing
2026-03-06 16:06:39.709,5,2,SW,SW,ongoing
2026-03-06 16:06:47.276,5,3,S,SE,ongoing
2026-03-06 16:06:54.721,5,4,W,W,ongoing
2026-03-06 16:06:56.471,5,4,W,N/A,success
2026-03-06 16:07:01.373,6,0,W,W,ongoing
2026-03-06 16:07:08.290,6,1,W,W,ongoing
2026-03-06 16:07:10.026,6,1,W,N/A,success
2026-03-06 16:07:15.192,7,0,NW,NW,ongoing
2026-03-06 16:07:21.859,7,1,NW,NW,ongoing
2026-03-06 16:07:28.483,7,2,NW,W,ongoing
2026-03-06 16:07:39.358,7,3,N,NE,ongoing
2026-03-06 16:07:45.719,7,4,W,W,ongoing
2026-03-06 16:07:47.468,7,4,W,N/A,success
2026-03-06 16:07:58.259,8,0,N,NE,ongoing
2026-03-06 16:08:06.426,8,1,W,SW,ongoing
2026-03-06 16:08:14.565,8,2,N,N,ongoing
2026-03-06 16:08:16.301,8,2,N,N/A,success
2026-03-06 16:08:24.509,9,0,NE,SE,ongoing
2026-03-06 16:08:30.148,9,1,N,N,ongoing
2026-03-06 16:08:36.980,9,2,NE,SE,ongoing
2026-03-06 16:08:42.605,9,3,N,N,ongoing
2026-03-06 16:08:48.384,9,4,N,N,ongoing
2026-03-06 16:08:54.021,9,5,N,N,ongoing
2026-03-06 16:08:55.758,9,5,N,N/A,success
