Timestamp,Point_Index,Attempt_Index,Correct_Direction,Responded_Direction,Status
2026-03-08 12:23:23.427,0,0,SW,SW,ongoing
2026-03-08 12:23:25.386,0,0,SW,N/A,success
2026-03-08 12:23:29.385,1,0,W,SW,ongoing
2026-03-08 12:23:35.315,1,1,N,N,ongoing
2026-03-08 12:23:37.065,1,1,N,N/A,success
2026-03-08 12:23:41.704,2,0,NE,E,ongoing
2026-03-08 12:23:47.092,2,1,NE,NE,ongoing
2026-03-08 12:23:52.315,2,2,N,N,ongoing
2026-03-08 12:23:54.064,2,2,N,N/A,success
2026-03-08 12:23:57.957,3,0,NW,NW,ongoing
2026-03-08 12:24:03.079,3,1,NW,N,ongoing
2026-03-08 12:24:08.814,3,2,NW,NW,ongoing
2026-03-08 12:24:14.550,3,3,W,NW,ongoing
2026-03-08 12:24:19.869,3,4,S,SW,ongoing
2026-03-08 12:24:26.105,3,5,E,E,ongoing
2026-03-08 12:24:27.855,3,5,E,N/A,success
2026-03-08 12:24:31.868,4,0,N,N,ongoing
2026-03-08 12:24:37.132,4,1,N,N,ongoing
2026-03-08 12:24:38.868,4,1,N,N/A,success
2026-03-08 12:24:42.758,5,0,NE,NE,ongoing
2026-03-08 12:24:48.257,5,1,NE,NE,ongoing
2026-03-08 12:24:53.479,5,2,NE,N,ongoing
2026-03-08 12:24:59.075,5,3,NE,N,ongoing
2026-03-08 12:25:04.547,5,4,E,E,ongoing
2026-03-08 12:25:11.547,5,5,E,E,ongoing
2026-03-08 12:25:13.297,5,5,E,N/A,success
2026-03-08 12:25:18.047,6,0,E,E,ongoing
2026-03-08 12:25:24.088,6,1,E,E,ongoing
2026-03-08 12:25:25.838,6,1,E,N/A,success
2026-03-08 12:25:31.032,7,0,SE,SE,ongoing
2026-03-08 12:25:32.991,7,0,SE,N/A,success
2026-03-08 12:25:36.796,8,0,S,SW,ongoing
2026-03-08 12:25:43.615,8,1,SE,SE,ongoing
2026-03-08 12:25:45.574,8,1,SE,N/A,success
2026-03-08 12:25:53.629,9,0,SW,W,ongoing
2026-03-08 12:25:59.045,9,1,SW,SW,ongoing
2026-03-08 12:26:04.281,9,2,SW,SW,ongoing
2026-03-08 12:26:09.518,9,3,S,SW,ongoing
2026-03-08 12:26:15.823,9,4,E,E,ongoing
2026-03-08 12:26:17.572,9,4,E,N/A,success
