Timestamp,Point_Index,Attempt_Index,Correct_Direction,Responded_Direction,Status
2026-03-08 12:31:18.260,0,0,NE,N,ongoing
2026-03-08 12:31:23.856,0,1,NE,N,ongoing
2026-03-08 12:31:29.411,0,2,E,NE,ongoing
2026-03-08 12:31:34.952,0,3,SE,E,ongoing
2026-03-08 12:31:40.939,0,4,S,E,ongoing
2026-03-08 12:31:46.411,0,5,SW,SW,ongoing
2026-03-08 12:31:48.369,0,5,SW,N/A,success
2026-03-08 12:31:52.216,1,0,SE,E,ongoing
2026-03-08 12:31:59.311,1,1,S,S,ongoing
2026-03-08 12:32:01.049,1,1,S,N/A,success
2026-03-08 12:32:06.494,2,0,W,W,ongoing
2026-03-08 12:32:08.229,2,0,W,N/A,success
2026-03-08 12:32:13.729,3,0,S,S,ongoing
2026-03-08 12:32:19.812,3,1,S,S,ongoing
2026-03-08 12:32:21.549,3,1,S,N/A,success
2026-03-08 12:32:25.311,4,0,SW,SW,ongoing
2026-03-08 12:32:30.450,4,1,SW,SW,ongoing
2026-03-08 12:32:35.589,4,2,SW,SW,ongoing
2026-03-08 12:32:37.548,4,2,SW,N/A,success
2026-03-08 12:32:41.269,5,0,SW,SW,ongoing
2026-03-08 12:32:43.228,5,0,SW,N/A,success
2026-03-08 12:32:47.200,6,0,NW,NW,ongoing
2026-03-08 12:32:52.519,6,1,NW,NW,ongoing
2026-03-08 12:32:57.811,6,2,NW,NW,ongoing
2026-03-08 12:32:59.769,6,2,NW,N/A,success
2026-03-08 12:33:03.560,7,0,N,N,ongoing
2026-03-08 12:33:08.754,7,1,N,N,ongoing
2026-03-08 12:33:10.491,7,1,N,N/A,success
2026-03-08 12:33:14.366,8,0,NE,NE,ongoing
2026-03-08 12:33:19.754,8,1,NE,N,ongoing
2026-03-08 12:33:25.032,8,2,NE,N,ongoing
2026-03-08 12:33:30.323,8,3,E,NE,ongoing
2026-03-08 12:33:35.726,8,4,E,N,ongoing
2026-03-08 12:33:41.601,8,5,SE,E,ongoing
2026-03-08 12:33:47.725,8,6,SE,NE,ongoing
2026-03-08 12:33:53.877,8,7,S,E,ongoing
2026-03-08 12:33:59.225,8,8,SW,SW,ongoing
2026-03-08 12:34:04.683,8,9,S,E,ongoing
2026-03-08 12:34:07.169,8,10,SW,N/A,failed
2026-03-08 12:34:11.210,9,0,E,N,ongoing
2026-03-08 12:34:16.543,9,1,SE,E,ongoing
2026-03-08 12:34:23.251,9,2,SE,NE,ongoing
2026-03-08 12:34:28.681,9,3,S,E,ongoing
2026-03-08 12:34:34.612,9,4,SW,W,ongoing
2026-03-08 12:34:40.751,9,5,S,S,ongoing
2026-03-08 12:34:48.001,9,6,S,SE,ongoing
2026-03-08 12:34:54.139,9,7,W,W,ongoing
2026-03-08 12:34:55.888,9,7,W,N/A,success
