Timestamp,Point_Index,Attempt_Index,Correct_Direction,Responded_Direction,Status
2026-03-01 17:50:56.651,0,0,NW,W,ongoing
2026-03-01 17:51:03.080,0,1,NW,SW,ongoing
2026-03-01 17:51:10.636,0,2,N,NE,ongoing
2026-03-01 17:51:17.247,0,3,NW,SW,ongoing
2026-03-01 17:51:24.705,0,4,N,NE,ongoing
2026-03-01 17:51:32.441,0,5,NW,W,ongoing
2026-03-01 17:51:38.204,0,6,N,N,ongoing
2026-03-01 17:51:44.343,0,7,NW,W,ongoing
2026-03-01 17:51:52.426,0,8,N,NE,ongoing
2026-03-01 17:52:00.064,0,9,NW,W,ongoing
2026-03-01 17:52:02.551,0,10,N,N/A,failed
2026-03-01 17:52:10.384,1,0,E,S,ongoing
2026-03-01 17:52:17.494,1,1,NE,SE,ongoing
2026-03-01 17:52:25.730,1,2,N,NE,ongoing
2026-03-01 17:52:31.618,1,3,NW,SW,ongoing
2026-03-01 17:52:37.729,1,4,N,NE,ongoing
2026-03-01 17:52:43.423,1,5,NW,SW,ongoing
2026-03-01 17:52:49.312,1,6,N,N,ongoing
2026-03-01 17:52:54.993,1,7,N,NE,ongoing
2026-03-01 17:53:01.729,1,8,W,SW,ongoing
2026-03-01 17:53:09.645,1,9,N,NE,ongoing
2026-03-01 17:53:12.131,1,10,W,N/A,failed
2026-03-01 17:53:16.367,2,0,NE,SE,ongoing
2026-03-01 17:53:23.394,2,1,N,SE,ongoing
2026-03-01 17:53:29.463,2,2,N,NE,ongoing
2026-03-01 17:53:36.921,2,3,N,NE,ongoing
2026-03-01 17:53:44.962,2,4,NW,W,ongoing
2026-03-01 17:53:59.115,2,5,NW,SW,ongoing
2026-03-01 17:54:05.045,2,6,N,N,ongoing
2026-03-01 17:54:11.767,2,7,N,NE,ongoing
2026-03-01 17:54:19.364,2,8,NW,W,ongoing
2026-03-01 17:54:27.975,2,9,N,NE,ongoing
2026-03-01 17:54:30.461,2,10,W,N/A,failed
2026-03-01 17:54:34.836,3,0,SE,S,ongoing
2026-03-01 17:54:41.196,3,1,SE,SE,ongoing
2026-03-01 17:54:46.766,3,2,SE,S,ongoing
2026-03-01 17:54:52.293,3,3,E,S,ongoing
2026-03-01 17:54:58.154,3,4,E,S,ongoing
2026-03-01 17:55:03.876,3,5,E,S,ongoing
2026-03-01 17:55:09.848,3,6,NE,NE,ongoing
2026-03-01 17:55:17.792,3,7,NE,N,ongoing
2026-03-01 17:55:23.459,3,8,E,SW,ongoing
2026-03-01 17:55:28.889,3,9,E,S,ongoing
2026-03-01 17:55:31.375,3,10,NE,N/A,failed
2026-03-01 17:55:36.069,4,0,S,S,ongoing
2026-03-01 17:55:41.680,4,1,S,S,ongoing
2026-03-01 17:55:43.430,4,1,S,N/A,success
2026-03-01 17:55:47.457,5,0,SW,W,ongoing
2026-03-01 17:55:53.346,5,1,SW,NW,ongoing
2026-03-01 17:55:59.110,5,2,S,SW,ongoing
2026-03-01 17:56:05.387,5,3,S,SW,ongoing
2026-03-01 17:56:11.136,5,4,SE,S,ongoing
2026-03-01 17:56:17.164,5,5,SE,SE,ongoing
2026-03-01 17:56:19.123,5,5,SE,N/A,success
2026-03-01 17:56:23.650,6,0,W,W,ongoing
2026-03-01 17:56:29.331,6,1,W,SW,ongoing
2026-03-01 17:56:36.150,6,2,N,NE,ongoing
2026-03-01 17:56:41.969,6,3,W,SW,ongoing
2026-03-01 17:56:48.525,6,4,N,N,ongoing
2026-03-01 17:56:50.275,6,4,N,N/A,success
2026-03-01 17:56:55.329,7,0,N,N,ongoing
2026-03-01 17:56:57.066,7,0,N,N/A,success
2026-03-01 17:57:01.413,8,0,SW,SW,ongoing
2026-03-01 17:57:03.371,8,0,SW,N/A,success
2026-03-01 17:57:07.662,9,0,SE,S,ongoing
2026-03-01 17:57:13.051,9,1,SE,S,ongoing
2026-03-01 17:57:18.523,9,2,E,S,ongoing
2026-03-01 17:57:25.912,9,3,NE,E,ongoing
2026-03-01 17:57:32.814,9,4,NE,SE,ongoing
2026-03-01 17:57:39.786,9,5,N,N,ongoing
2026-03-01 17:57:45.758,9,6,N,E,ongoing
2026-03-01 17:57:52.063,9,7,NW,W,ongoing
2026-03-01 17:57:58.577,9,8,N,NE,ongoing
2026-03-01 17:58:05.632,9,9,W,W,ongoing
2026-03-01 17:58:07.382,9,9,W,N/A,success
