Timestamp,Point_Index,Attempt_Index,Correct_Direction,Responded_Direction,Status
2026-03-06 13:58:41.841,0,0,NW,NW,ongoing
2026-03-06 13:58:48.702,0,1,NW,NW,ongoing
2026-03-06 13:58:55.285,0,2,NW,NW,ongoing
2026-03-06 13:58:57.244,0,2,NW,N/A,success
2026-03-06 13:59:03.743,1,0,E,SE,ongoing
2026-03-06 13:59:10.062,1,1,N,NE,ongoing
2026-03-06 13:59:16.172,1,2,W,SW,ongoing
2026-03-06 13:59:22.061,1,3,N,NE,ongoing
2026-03-06 13:59:28.326,1,4,W,SW,ongoing
2026-03-06 13:59:39.922,1,5,N,NE,ongoing
2026-03-06 13:59:49.880,1,6,W,W,ongoing
2026-03-06 13:59:51.616,1,6,W,N/A,success
2026-03-06 13:59:58.532,2,0,NE,NE,ongoing
2026-03-06 14:00:08.059,2,1,NE,N,ongoing
2026-03-06 14:00:14.448,2,2,E,E,ongoing
2026-03-06 14:00:16.198,2,2,E,N/A,success
2026-03-06 14:00:23.517,3,0,SE,E,ongoing
2026-03-06 14:00:34.003,3,1,SE,SE,ongoing
2026-03-06 14:00:41.128,3,2,SE,E,ongoing
2026-03-06 14:00:46.766,3,3,S,S,ongoing
2026-03-06 14:00:55.794,3,4,SE,SE,ongoing
2026-03-06 14:01:01.779,3,5,S,S,ongoing
2026-03-06 14:01:03.530,3,5,S,N/A,success
2026-03-06 14:01:07.682,4,0,S,S,ongoing
2026-03-06 14:01:13.682,4,1,S,S,ongoing
2026-03-06 14:01:15.432,4,1,S,N/A,success
2026-03-06 14:01:20.917,5,0,SW,SW,ongoing
2026-03-06 14:01:26.695,5,1,SW,SW,ongoing
2026-03-06 14:01:32.417,5,2,SW,SW,ongoing
2026-03-06 14:01:34.375,5,2,SW,N/A,success
2026-03-06 14:01:40.889,6,0,W,NW,ongoing
2026-03-06 14:01:46.889,6,1,SW,W,ongoing
2026-03-06 14:01:52.736,6,2,S,S,ongoing
2026-03-06 14:01:54.486,6,2,S,N/A,success
2026-03-06 14:01:58.970,7,0,N,NE,ongoing
2026-03-06 14:02:06.151,7,1,W,W,ongoing
2026-03-06 14:02:07.888,7,1,W,N/A,success
2026-03-06 14:02:13.332,8,0,SW,W,ongoing
2026-03-06 14:02:18.596,8,1,S,S,ongoing
2026-03-06 14:02:20.332,8,1,S,N/A,success
2026-03-06 14:02:26.817,9,0,SE,SE,ongoing
2026-03-06 14:02:34.428,9,1,SE,SE,ongoing
2026-03-06 14:02:36.387,9,1,SE,N/A,success
