Timestamp,Point_Index,Attempt_Index,Correct_Direction,Responded_Direction,Status
2026-03-06 14:34:53.929,0,0,NW,NW,ongoing
2026-03-06 14:34:59.442,0,1,NW,NW,ongoing
2026-03-06 14:35:04.790,0,2,NW,NW,ongoing
2026-03-06 14:35:06.748,0,2,NW,N/A,success
2026-03-06 14:35:12.220,1,0,E,SE,ongoing
2026-03-06 14:35:22.108,1,1,N,NE,ongoing
2026-03-06 14:35:27.733,1,2,W,NW,ongoing
2026-03-06 14:35:33.414,1,3,S,S,ongoing
2026-03-06 14:35:35.163,1,3,S,N/A,success
2026-03-06 14:35:40.635,2,0,NE,NE,ongoing
2026-03-06 14:35:46.219,2,1,NE,NE,ongoing
2026-03-06 14:35:48.176,2,1,NE,N/A,success
2026-03-06 14:35:53.232,3,0,SE,SE,ongoing
2026-03-06 14:35:58.801,3,1,SE,SE,ongoing
2026-03-06 14:36:04.288,3,2,SE,SE,ongoing
2026-03-06 14:36:09.648,3,3,SE,SE,ongoing
2026-03-06 14:36:11.606,3,3,SE,N/A,success
2026-03-06 14:36:15.926,4,0,S,S,ongoing
2026-03-06 14:36:21.245,4,1,S,S,ongoing
2026-03-06 14:36:22.981,4,1,S,N/A,success
2026-03-06 14:36:27.314,5,0,SW,SW,ongoing
2026-03-06 14:36:32.578,5,1,SW,SW,ongoing
2026-03-06 14:36:37.786,5,2,SW,SW,ongoing
2026-03-06 14:36:39.744,5,2,SW,N/A,success
2026-03-06 14:36:44.299,6,0,W,W,ongoing
2026-03-06 14:36:49.994,6,1,W,W,ongoing
2026-03-06 14:36:51.730,6,1,W,N/A,success
2026-03-06 14:36:57.980,7,0,N,N,ongoing
2026-03-06 14:36:59.729,7,0,N,N/A,success
2026-03-06 14:37:04.826,8,0,SW,SW,ongoing
2026-03-06 14:37:06.785,8,0,SW,N/A,success
2026-03-06 14:37:11.284,9,0,SE,SE,ongoing
2026-03-06 14:37:16.576,9,1,SE,SE,ongoing
2026-03-06 14:37:18.534,9,1,SE,N/A,success
