Timestamp,Point_Index,Attempt_Index,Correct_Direction,Responded_Direction,Status
2026-02-28 16:05:20.053,0,0,NE,NW,ongoing
2026-02-28 16:05:26.732,0,1,E,S,ongoing
2026-02-28 16:05:35.772,0,2,NE,W,ongoing
2026-02-28 16:05:45.216,0,3,NE,NW,ongoing
2026-02-28 16:05:53.464,0,4,E,S,ongoing
2026-02-28 16:06:02.948,0,5,E,S,ongoing
2026-02-28 16:06:11.058,0,6,NE,NW,ongoing
2026-02-28 16:06:19.946,0,7,E,SW,ongoing
2026-02-28 16:06:28.154,0,8,NE,NW,ongoing
2026-02-28 16:06:38.569,0,9,E,SW,ongoing
2026-02-28 16:06:41.055,0,10,E,N/A,failed
2026-02-28 16:06:46.457,1,0,N,N,ongoing
2026-02-28 16:06:48.207,1,0,N,N/A,success
2026-02-28 16:06:55.066,2,0,NW,W,ongoing
2026-02-28 16:07:02.037,2,1,NW,NW,ongoing
2026-02-28 16:07:09.245,2,2,NW,N,ongoing
2026-02-28 16:07:16.202,2,3,NW,NW,ongoing
2026-02-28 16:07:18.159,2,3,NW,N/A,success
2026-02-28 16:07:26.743,3,0,W,W,ongoing
2026-02-28 16:07:33.797,3,1,W,NW,ongoing
2026-02-28 16:07:41.947,3,2,S,W,ongoing
2026-02-28 16:07:51.586,3,3,SE,S,ongoing
2026-02-28 16:08:06.209,3,4,E,SW,ongoing
2026-02-28 16:08:15.151,3,5,NE,NE,ongoing
2026-02-28 16:08:27.649,3,6,E,SE,ongoing
2026-02-28 16:08:33.761,3,7,N,N,ongoing
2026-02-28 16:08:35.511,3,7,N,N/A,success
2026-02-28 16:08:42.050,4,0,SW,SW,ongoing
2026-02-28 16:08:48.633,4,1,SW,SW,ongoing
2026-02-28 16:08:55.035,4,2,SW,SW,ongoing
2026-02-28 16:08:56.993,4,2,SW,N/A,success
2026-02-28 16:09:01.533,5,0,S,S,ongoing
2026-02-28 16:09:07.700,5,1,S,SW,ongoing
2026-02-28 16:09:17.809,5,2,E,SW,ongoing
2026-02-28 16:09:24.642,5,3,NE,N,ongoing
2026-02-28 16:09:31.891,5,4,E,S,ongoing
2026-02-28 16:09:39.681,5,5,NE,N,ongoing
2026-02-28 16:10:21.146,5,6,E,SW,ongoing
2026-02-28 16:10:27.368,5,7,E,S,ongoing
2026-02-28 16:10:33.757,5,8,NE,N,ongoing
2026-02-28 16:10:41.242,5,9,E,S,ongoing
2026-02-28 16:10:43.728,5,10,E,N/A,failed
2026-02-28 16:10:47.907,6,0,SE,S,ongoing
2026-02-28 16:10:57.002,6,1,SE,SW,ongoing
2026-02-28 16:11:03.322,6,2,E,SW,ongoing
2026-02-28 16:11:10.139,6,3,E,SW,ongoing
2026-02-28 16:11:17.542,6,4,E,SW,ongoing
2026-02-28 16:11:26.652,6,5,E,SE,ongoing
2026-02-28 16:11:44.191,6,6,E,E,ongoing
2026-02-28 16:11:50.357,6,7,E,S,ongoing
2026-02-28 16:12:00.259,6,8,NE,N,ongoing
2026-02-28 16:12:07.271,6,9,E,SW,ongoing
2026-02-28 16:12:09.757,6,10,E,N/A,failed
2026-02-28 16:12:18.533,7,0,E,W,ongoing
2026-02-28 16:12:24.422,7,1,E,S,ongoing
2026-02-28 16:12:31.517,7,2,NE,W,ongoing
2026-02-28 16:12:38.030,7,3,E,SW,ongoing
2026-02-28 16:12:48.862,7,4,NE,SW,ongoing
2026-02-28 16:12:56.111,7,5,NE,N,ongoing
2026-02-28 16:13:07.457,7,6,E,N,ongoing
2026-02-28 16:13:15.373,7,7,E,SW,ongoing
2026-02-28 16:13:43.480,7,8,E,S,ongoing
2026-02-28 16:13:50.506,7,9,NE,NW,ongoing
2026-02-28 16:13:52.992,7,10,NE,N/A,failed
2026-02-28 16:13:56.908,8,0,SE,S,ongoing
2026-02-28 16:14:25.834,8,1,SE,SW,ongoing
2026-02-28 16:14:31.960,8,2,E,S,ongoing
2026-02-28 16:14:37.972,8,3,E,SW,ongoing
2026-02-28 16:14:44.874,8,4,NE,N,ongoing
2026-02-28 16:14:51.498,8,5,E,SW,ongoing
2026-02-28 16:15:01.871,8,6,E,W,ongoing
2026-02-28 16:15:12.162,8,7,E,SE,ongoing
2026-02-28 16:15:18.882,8,8,NE,S,ongoing
2026-02-28 16:15:28.714,8,9,NE,S,ongoing
2026-02-28 16:15:31.200,8,10,NE,N/A,failed
2026-02-28 16:15:35.353,9,0,SW,SW,ongoing
2026-02-28 16:15:37.310,9,0,SW,N/A,success
