Timestamp,Point_Index,Attempt_Index,Correct_Direction,Responded_Direction,Status
2026-02-27 12:04:31.288,0,0,NW,NW,ongoing
2026-02-27 12:04:38.941,0,1,NW,NW,ongoing
2026-02-27 12:04:40.899,0,2,NW,N/A,success
2026-02-27 12:04:47.676,1,0,N,N,ongoing
2026-02-27 12:04:49.426,1,0,N,N/A,success
2026-02-27 12:04:55.551,2,0,NE,NE,ongoing
2026-02-27 12:05:03.355,2,1,NE,NE,ongoing
2026-02-27 12:05:10.300,2,2,NE,NE,ongoing
2026-02-27 12:05:12.259,2,3,NE,N/A,success
2026-02-27 12:05:18.924,3,0,E,NE,ongoing
2026-02-27 12:05:26.536,3,1,SE,SE,ongoing
2026-02-27 12:05:28.494,3,2,SE,N/A,success
2026-02-27 12:05:34.036,4,0,SE,SE,ongoing
2026-02-27 12:05:41.453,4,1,SE,SE,ongoing
2026-02-27 12:05:48.203,4,2,SE,SE,ongoing
2026-02-27 12:05:50.161,4,3,SE,N/A,success
2026-02-27 12:05:55.300,5,0,S,S,ongoing
2026-02-27 12:06:02.229,5,1,S,S,ongoing
2026-02-27 12:06:03.979,5,1,S,N/A,success
2026-02-27 12:06:09.104,6,0,SW,S,ongoing
2026-02-27 12:06:16.730,6,1,SW,SW,ongoing
2026-02-27 12:06:24.326,6,2,SW,SW,ongoing
2026-02-27 12:06:32.007,6,3,SW,SW,ongoing
2026-02-27 12:06:42.770,6,5,W,W,ongoing
2026-02-27 12:06:44.506,6,5,W,N/A,success
2026-02-27 12:06:50.408,7,0,W,W,ongoing
2026-02-27 12:06:52.144,7,0,W,N/A,success
2026-02-27 12:06:57.047,8,0,SW,SW,ongoing
2026-02-27 12:07:04.533,8,1,SW,SW,ongoing
2026-02-27 12:07:06.492,8,2,SW,N/A,success
2026-02-27 12:07:12.131,9,0,SE,SE,ongoing
2026-02-27 12:07:14.089,9,1,SE,N/A,success
