Timestamp,Point_Index,Attempt_Index,Correct_Direction,Responded_Direction,Status
2026-03-05 18:14:48.016,0,0,E,S,ongoing
2026-03-05 18:14:54.891,0,1,E,S,ongoing
2026-03-05 18:15:04.029,0,2,NE,NW,ongoing
2026-03-05 18:15:09.848,0,3,E,N,ongoing
2026-03-05 18:15:16.543,0,4,E,NE,ongoing
2026-03-05 18:15:23.264,0,5,E,N,ongoing
2026-03-05 18:15:32.251,0,6,SE,S,ongoing
2026-03-05 18:15:42.736,0,7,E,N,ongoing
2026-03-05 18:15:49.972,0,8,SE,N,ongoing
2026-03-05 18:16:01.333,0,9,SE,NE,ongoing
2026-03-05 18:16:03.818,0,10,SE,N/A,failed
2026-03-05 18:16:08.846,1,0,N,N,ongoing
2026-03-05 18:16:15.443,1,1,N,N,ongoing
2026-03-05 18:16:17.179,1,1,N,N/A,success
2026-03-05 18:16:21.484,2,0,NW,N,ongoing
2026-03-05 18:16:32.360,2,1,W,NW,ongoing
2026-03-05 18:16:38.470,2,2,S,W,ongoing
2026-03-05 18:16:48.233,2,3,SE,S,ongoing
2026-03-05 18:16:55.496,2,4,E,S,ongoing
2026-03-05 18:17:04.927,2,5,NE,NE,ongoing
2026-03-05 18:17:06.885,2,5,NE,N/A,success
2026-03-05 18:17:11.538,3,0,SW,W,ongoing
2026-03-05 18:17:18.175,3,1,SW,W,ongoing
2026-03-05 18:17:26.176,3,2,S,W,ongoing
2026-03-05 18:17:42.480,3,3,SE,W,ongoing
2026-03-05 18:18:00.300,3,4,SE,S,ongoing
2026-03-05 18:18:09.924,3,5,SE,S,ongoing
2026-03-05 18:18:18.466,3,6,E,NE,ongoing
2026-03-05 18:18:31.978,3,7,SE,S,ongoing
2026-03-05 18:18:41.923,3,8,E,N,ongoing
2026-03-05 18:18:56.630,3,9,SE,SW,ongoing
2026-03-05 18:18:59.115,3,10,E,N/A,failed
2026-03-05 18:19:09.338,4,0,SE,SE,ongoing
2026-03-05 18:19:22.477,4,1,SE,SW,ongoing
2026-03-05 18:19:28.934,4,2,E,S,ongoing
2026-03-05 18:19:38.268,4,3,E,E,ongoing
2026-03-05 18:19:46.809,4,4,E,E,ongoing
2026-03-05 18:19:58.752,4,5,E,N,ongoing
2026-03-05 18:20:11.711,4,6,SE,E,ongoing
2026-03-05 18:20:17.765,4,7,S,SW,ongoing
2026-03-05 18:20:27.599,4,8,E,E,ongoing
2026-03-05 18:20:29.348,4,8,E,N/A,success
2026-03-05 18:20:34.043,5,0,NE,N,ongoing
2026-03-05 18:20:39.583,5,1,NE,N,ongoing
2026-03-05 18:20:45.459,5,2,NE,N,ongoing
2026-03-05 18:20:51.668,5,3,E,NE,ongoing
2026-03-05 18:20:59.445,5,4,E,NE,ongoing
2026-03-05 18:21:10.694,5,5,SE,E,ongoing
2026-03-05 18:21:21.083,5,6,SE,SE,ongoing
2026-03-05 18:21:23.041,5,6,SE,N/A,success
2026-03-05 18:21:27.305,6,0,W,N,ongoing
2026-03-05 18:21:35.249,6,1,SW,W,ongoing
2026-03-05 18:21:46.373,6,2,SW,NW,ongoing
2026-03-05 18:21:53.415,6,3,S,SW,ongoing
2026-03-05 18:22:02.276,6,4,SE,S,ongoing
2026-03-05 18:22:09.983,6,5,E,N,ongoing
2026-03-05 18:22:19.955,6,6,SE,N,ongoing
2026-03-05 18:22:27.219,6,7,SE,N,ongoing
2026-03-05 18:22:36.190,6,8,S,SW,ongoing
2026-03-05 18:22:49.036,6,9,SE,S,ongoing
2026-03-05 18:22:51.509,6,10,SE,N/A,failed
2026-03-05 18:22:58.023,7,0,S,SW,ongoing
2026-03-05 18:23:08.925,7,1,SE,S,ongoing
2026-03-05 18:23:15.702,7,2,E,SE,ongoing
2026-03-05 18:23:22.480,7,3,N,N,ongoing
2026-03-05 18:23:24.230,7,3,N,N/A,success
2026-03-05 18:23:28.230,8,0,NW,NW,ongoing
2026-03-05 18:23:30.188,8,0,NW,N/A,success
2026-03-05 18:23:34.910,9,0,N,N,ongoing
2026-03-05 18:23:36.646,9,0,N,N/A,success
