Timestamp,Point_Index,Attempt_Index,Correct_Direction,Responded_Direction,Status
2026-03-04 21:28:50.201,0,0,NW,SW,ongoing
2026-03-04 21:28:56.157,0,1,NW,W,ongoing
2026-03-04 21:29:01.699,0,2,N,NW,ongoing
2026-03-04 21:29:07.102,0,3,N,NW,ongoing
2026-03-04 21:29:12.894,0,4,NE,NE,ongoing
2026-03-04 21:29:18.435,0,5,N,N,ongoing
2026-03-04 21:29:20.185,0,5,N,N/A,success
2026-03-04 21:29:24.768,1,0,E,NE,ongoing
2026-03-04 21:29:30.531,1,1,S,E,ongoing
2026-03-04 21:29:36.254,1,2,SW,SW,ongoing
2026-03-04 21:29:38.212,1,2,SW,N/A,success
2026-03-04 21:29:43.225,2,0,NE,S,ongoing
2026-03-04 21:29:49.114,2,1,NE,E,ongoing
2026-03-04 21:29:55.739,2,2,N,N,ongoing
2026-03-04 21:30:01.446,2,3,NE,NE,ongoing
2026-03-04 21:30:07.627,2,4,N,N,ongoing
2026-03-04 21:30:09.363,2,4,N,N/A,success
2026-03-04 21:30:13.460,3,0,SE,E,ongoing
2026-03-04 21:30:19.016,3,1,SE,NE,ongoing
2026-03-04 21:30:25.127,3,2,S,SE,ongoing
2026-03-04 21:30:30.946,3,3,S,SE,ongoing
2026-03-04 21:30:36.404,3,4,S,S,ongoing
2026-03-04 21:30:41.793,3,5,S,S,ongoing
2026-03-04 21:30:47.750,3,6,S,S,ongoing
2026-03-04 21:30:49.486,3,6,S,N/A,success
2026-03-04 21:30:54.264,4,0,S,S,ongoing
2026-03-04 21:30:59.722,4,1,S,S,ongoing
2026-03-04 21:31:01.458,4,1,S,N/A,success
2026-03-04 21:31:05.333,5,0,SW,SW,ongoing
2026-03-04 21:31:10.596,5,1,SW,S,ongoing
2026-03-04 21:31:16.013,5,2,SW,SW,ongoing
2026-03-04 21:31:21.485,5,3,W,SW,ongoing
2026-03-04 21:31:27.166,5,4,N,NW,ongoing
2026-03-04 21:31:32.970,5,5,E,NE,ongoing
2026-03-04 21:31:38.735,5,6,S,NE,ongoing
2026-03-04 21:31:44.637,5,7,SW,SW,ongoing
2026-03-04 21:31:50.664,5,8,S,E,ongoing
2026-03-04 21:31:56.025,5,9,SW,S,ongoing
2026-03-04 21:31:58.512,5,10,W,N/A,failed
2026-03-04 21:32:03.150,6,0,W,W,ongoing
2026-03-04 21:32:08.469,6,1,W,SW,ongoing
2026-03-04 21:32:14.497,6,2,N,NW,ongoing
2026-03-04 21:32:20.066,6,3,E,NE,ongoing
2026-03-04 21:32:25.760,6,4,S,E,ongoing
2026-03-04 21:32:30.982,6,5,SW,SW,ongoing
2026-03-04 21:32:32.941,6,5,SW,N/A,success
2026-03-04 21:32:36.871,7,0,N,N,ongoing
2026-03-04 21:32:38.621,7,0,N,N/A,success
2026-03-04 21:32:42.357,8,0,SW,SW,ongoing
2026-03-04 21:32:44.315,8,0,SW,N/A,success
2026-03-04 21:32:48.190,9,0,SE,E,ongoing
2026-03-04 21:32:53.676,9,1,SE,E,ongoing
2026-03-04 21:32:59.022,9,2,S,SE,ongoing
2026-03-04 21:33:04.523,9,3,SW,S,ongoing
2026-03-04 21:33:09.745,9,4,W,SW,ongoing
2026-03-04 21:33:15.244,9,5,N,NW,ongoing
2026-03-04 21:33:20.980,9,6,E,NE,ongoing
2026-03-04 21:33:26.757,9,7,S,SE,ongoing
2026-03-04 21:33:32.299,9,8,W,W,ongoing
2026-03-04 21:33:34.036,9,8,W,N/A,success
