Timestamp,Point_Index,Attempt_Index,Correct_Direction,Responded_Direction,Status
2026-03-08 16:56:52.241,0,0,SW,SW,ongoing
2026-03-08 16:56:54.199,0,0,SW,N/A,success
2026-03-08 16:56:59.726,1,0,W,W,ongoing
2026-03-08 16:57:01.463,1,0,W,N/A,success
2026-03-08 16:57:09.309,2,0,NE,N,ongoing
2026-03-08 16:57:20.573,2,1,NE,NE,ongoing
2026-03-08 16:57:27.892,2,2,E,SE,ongoing
2026-03-08 16:57:37.349,2,3,N,N,ongoing
2026-03-08 16:57:39.100,2,3,N,N/A,success
2026-03-08 16:57:48.614,3,0,NW,NW,ongoing
2026-03-08 16:57:58.654,3,1,NW,NW,ongoing
2026-03-08 16:58:07.279,3,2,NW,NW,ongoing
2026-03-08 16:58:09.237,3,2,NW,N/A,success
2026-03-08 16:58:16.487,4,0,N,N,ongoing
2026-03-08 16:58:22.820,4,1,N,N,ongoing
2026-03-08 16:58:24.556,4,1,N,N/A,success
2026-03-08 16:58:31.999,5,0,NE,NE,ongoing
2026-03-08 16:58:43.583,5,1,NE,NE,ongoing
2026-03-08 16:58:56.429,5,2,NE,NE,ongoing
2026-03-08 16:59:10.248,5,3,NE,N,ongoing
2026-03-08 16:59:18.887,5,4,E,E,ongoing
2026-03-08 16:59:20.637,5,4,E,N/A,success
2026-03-08 16:59:28.219,6,0,E,E,ongoing
2026-03-08 16:59:35.636,6,1,E,SE,ongoing
2026-03-08 16:59:49.441,6,2,N,NE,ongoing
2026-03-08 16:59:55.969,6,3,W,W,ongoing
2026-03-08 16:59:57.719,6,3,W,N/A,success
2026-03-08 17:00:06.052,7,0,SE,SE,ongoing
2026-03-08 17:00:08.010,7,0,SE,N/A,success
2026-03-08 17:00:14.149,8,0,S,S,ongoing
2026-03-08 17:00:21.773,8,1,S,S,ongoing
2026-03-08 17:00:23.509,8,1,S,N/A,success
2026-03-08 17:00:30.273,9,0,SW,S,ongoing
2026-03-08 17:00:40.689,9,1,SW,S,ongoing
2026-03-08 17:00:54.550,9,2,W,SW,ongoing
2026-03-08 17:01:02.175,9,3,W,W,ongoing
2026-03-08 17:01:12.882,9,4,W,W,ongoing
2026-03-08 17:01:14.633,9,4,W,N/A,success
