Timestamp,Point_Index,Attempt_Index,Correct_Direction,Responded_Direction,Status
2026-03-05 12:03:09.579,0,0,E,SE,ongoing
2026-03-05 12:03:19.134,0,1,NE,SW,ongoing
2026-03-05 12:03:25.551,0,2,NE,SW,ongoing
2026-03-05 12:03:31.801,0,3,NE,SW,ongoing
2026-03-05 12:03:38.703,0,4,NE,S,ongoing
2026-03-05 12:03:44.369,0,5,NE,SW,ongoing
2026-03-05 12:03:50.731,0,6,NE,SW,ongoing
2026-03-05 12:03:56.633,0,7,NE,SW,ongoing
2026-03-05 12:04:02.550,0,8,NE,SW,ongoing
2026-03-05 12:04:08.534,0,9,NE,SW,ongoing
2026-03-05 12:04:11.008,0,10,NE,N/A,failed
2026-03-05 12:04:16.410,1,0,W,SW,ongoing
2026-03-05 12:04:22.660,1,1,NW,N,ongoing
2026-03-05 12:04:28.673,1,2,W,NW,ongoing
2026-03-05 12:04:34.507,1,3,S,SW,ongoing
2026-03-05 12:04:42.256,1,4,E,E,ongoing
2026-03-05 12:04:43.992,1,4,E,N/A,success
2026-03-05 12:04:48.881,2,0,N,N,ongoing
2026-03-05 12:04:55.214,2,1,N,NE,ongoing
2026-03-05 12:05:01.255,2,2,W,W,ongoing
2026-03-05 12:05:03.005,2,2,W,N/A,success
2026-03-05 12:05:06.950,3,0,S,SW,ongoing
2026-03-05 12:05:19.227,3,1,SE,S,ongoing
2026-03-05 12:05:25.393,3,2,E,SE,ongoing
2026-03-05 12:05:32.309,3,3,N,NE,ongoing
2026-03-05 12:05:40.504,3,4,W,SW,ongoing
