Timestamp,Point_Index,Attempt_Index,Correct_Direction,Responded_Direction,Status
2026-03-02 13:48:08.273,0,0,W,W,ongoing
2026-03-02 13:48:13.966,0,1,W,W,ongoing
2026-03-02 13:48:15.704,0,1,W,N/A,success
2026-03-02 13:48:20.174,1,0,SW,SW,ongoing
2026-03-02 13:48:28.577,1,1,SW,SW,ongoing
2026-03-02 13:48:34.632,1,2,SW,SW,ongoing
2026-03-02 13:48:36.591,1,2,SW,N/A,success
2026-03-02 13:48:40.911,2,0,S,S,ongoing
2026-03-02 13:48:46.660,2,1,S,S,ongoing
2026-03-02 13:48:48.395,2,1,S,N/A,success
2026-03-02 13:48:56.742,3,0,SE,NE,ongoing
2026-03-02 13:49:03.270,3,1,SE,SE,ongoing
2026-03-02 13:49:10.992,3,2,SE,SE,ongoing
2026-03-02 13:49:16.645,3,3,S,S,ongoing
2026-03-02 13:49:27.073,3,4,SE,E,ongoing
2026-03-02 13:49:32.644,3,5,S,S,ongoing
2026-03-02 13:49:38.214,3,6,S,S,ongoing
2026-03-02 13:49:39.963,3,6,S,N/A,success
2026-03-02 13:49:46.407,4,0,E,E,ongoing
2026-03-02 13:49:48.157,4,0,E,N/A,success
2026-03-02 13:49:52.671,5,0,NE,N,ongoing
2026-03-02 13:49:58.254,5,1,NE,N,ongoing
2026-03-02 13:50:04.309,5,2,E,E,ongoing
2026-03-02 13:50:10.878,5,3,E,E,ongoing
2026-03-02 13:50:12.628,5,3,E,N/A,success
2026-03-02 13:50:16.989,6,0,N,N,ongoing
2026-03-02 13:50:18.739,6,0,N,N/A,success
2026-03-02 13:50:23.419,7,0,NW,NW,ongoing
2026-03-02 13:50:29.072,7,1,NW,NW,ongoing
2026-03-02 13:50:34.850,7,2,NW,NW,ongoing
2026-03-02 13:50:36.808,7,2,NW,N/A,success
2026-03-02 13:50:42.807,8,0,SW,S,ongoing
2026-03-02 13:50:49.932,8,1,W,W,ongoing
2026-03-02 13:50:51.682,8,1,W,N/A,success
2026-03-02 13:50:59.237,9,0,SE,SE,ongoing
2026-03-02 13:51:05.127,9,1,SE,SE,ongoing
2026-03-02 13:51:07.084,9,1,SE,N/A,success
