Timestamp,Point_Index,Attempt_Index,Correct_Direction,Responded_Direction,Status
2026-03-07 16:03:10.730,0,0,SE,SE,ongoing
2026-03-07 16:03:17.091,0,1,SE,SE,ongoing
2026-03-07 16:03:19.049,0,1,SE,N/A,success
2026-03-07 16:03:25.340,1,0,SW,W,ongoing
2026-03-07 16:03:33.353,1,1,S,S,ongoing
2026-03-07 16:03:35.104,1,1,S,N/A,success
2026-03-07 16:03:40.742,2,0,NW,NW,ongoing
2026-03-07 16:03:46.659,2,1,NW,NW,ongoing
2026-03-07 16:03:53.005,2,2,NW,NW,ongoing
2026-03-07 16:03:54.963,2,2,NW,N/A,success
2026-03-07 16:03:59.450,3,0,N,N,ongoing
2026-03-07 16:04:01.200,3,0,N,N/A,success
2026-03-07 16:04:12.505,4,0,NE,SE,ongoing
2026-03-07 16:04:17.796,4,1,N,N,ongoing
2026-03-07 16:04:26.518,4,2,NE,E,ongoing
2026-03-07 16:04:35.239,4,3,N,NE,ongoing
2026-03-07 16:04:48.892,4,4,NW,NW,ongoing
2026-03-07 16:04:50.850,4,4,NW,N/A,success
2026-03-07 16:04:56.447,5,0,E,E,ongoing
2026-03-07 16:04:58.183,5,0,E,N/A,success
2026-03-07 16:05:02.780,6,0,SE,E,ongoing
2026-03-07 16:05:08.904,6,1,SE,SE,ongoing
2026-03-07 16:05:15.279,6,2,SE,SE,ongoing
2026-03-07 16:05:20.891,6,3,SE,SE,ongoing
2026-03-07 16:05:26.682,6,4,S,S,ongoing
2026-03-07 16:05:28.432,6,4,S,N/A,success
2026-03-07 16:05:33.084,7,0,S,S,ongoing
2026-03-07 16:05:38.709,7,1,S,S,ongoing
2026-03-07 16:05:40.458,7,1,S,N/A,success
2026-03-07 16:05:50.472,8,0,SW,S,ongoing
2026-03-07 16:05:57.000,8,1,SW,SW,ongoing
2026-03-07 16:06:02.763,8,2,SW,SW,ongoing
2026-03-07 16:06:08.556,8,3,W,SW,ongoing
2026-03-07 16:06:17.526,8,4,N,N,ongoing
2026-03-07 16:06:19.263,8,4,N,N/A,success
2026-03-07 16:06:27.291,9,0,W,NW,ongoing
2026-03-07 16:06:33.096,9,1,SW,W,ongoing
2026-03-07 16:06:39.123,9,2,S,S,ongoing
2026-03-07 16:06:40.873,9,2,S,N/A,success
