Timestamp,Point_Index,Attempt_Index,Correct_Direction,Responded_Direction,Status
2026-03-07 16:49:19.254,0,0,NE,NW,ongoing
2026-03-07 16:49:25.045,0,1,E,E,ongoing
2026-03-07 16:49:30.795,0,2,NE,E,ongoing
2026-03-07 16:49:36.850,0,3,NE,NE,ongoing
2026-03-07 16:49:38.809,0,3,NE,N/A,success
2026-03-07 16:49:42.918,1,0,SE,E,ongoing
2026-03-07 16:49:50.031,1,1,S,S,ongoing
2026-03-07 16:49:51.780,1,1,S,N/A,success
2026-03-07 16:49:55.626,2,0,W,SW,ongoing
2026-03-07 16:50:01.251,2,1,N,E,ongoing
2026-03-07 16:50:08.320,2,2,NW,NW,ongoing
2026-03-07 16:50:10.280,2,2,NW,N/A,success
2026-03-07 16:50:18.307,3,0,S,SE,ongoing
2026-03-07 16:50:23.834,3,1,SW,S,ongoing
2026-03-07 16:50:30.654,3,2,W,W,ongoing
2026-03-07 16:50:32.403,3,2,W,N/A,success
2026-03-07 16:50:36.723,4,0,SW,SW,ongoing
2026-03-07 16:50:42.000,4,1,SW,S,ongoing
2026-03-07 16:50:47.306,4,2,SW,S,ongoing
2026-03-07 16:50:54.777,4,3,W,SW,ongoing
2026-03-07 16:51:02.778,4,4,NW,N,ongoing
2026-03-07 16:51:08.652,4,5,W,W,ongoing
2026-03-07 16:51:10.401,4,5,W,N/A,success
2026-03-07 16:51:14.721,5,0,SW,S,ongoing
2026-03-07 16:51:20.124,5,1,W,SW,ongoing
2026-03-07 16:51:27.318,5,2,N,N,ongoing
2026-03-07 16:51:29.054,5,2,N,N/A,success
2026-03-07 16:51:33.262,6,0,NW,NW,ongoing
2026-03-07 16:51:38.831,6,1,NW,NW,ongoing
2026-03-07 16:51:44.456,6,2,NW,NW,ongoing
2026-03-07 16:51:46.415,6,2,NW,N/A,success
2026-03-07 16:51:50.983,7,0,N,N,ongoing
2026-03-07 16:51:56.622,7,1,N,N,ongoing
2026-03-07 16:51:58.372,7,1,N,N/A,success
2026-03-07 16:52:02.775,8,0,NE,NE,ongoing
2026-03-07 16:52:08.747,8,1,NE,E,ongoing
2026-03-07 16:52:14.537,8,2,NE,E,ongoing
2026-03-07 16:52:22.385,8,3,N,N,ongoing
2026-03-07 16:52:28.037,8,4,NE,NE,ongoing
2026-03-07 16:52:33.870,8,5,N,N,ongoing
2026-03-07 16:52:35.607,8,5,N,N/A,success
2026-03-07 16:52:43.398,9,0,E,E,ongoing
2026-03-07 16:52:48.772,9,1,E,SE,ongoing
2026-03-07 16:52:59.258,9,2,N,E,ongoing
2026-03-07 16:53:05.328,9,3,NW,NW,ongoing
2026-03-07 16:53:07.286,9,3,NW,N/A,success
