Timestamp,Point_Index,Attempt_Index,Correct_Direction,Responded_Direction,Status
2026-03-07 13:49:50.176,0,0,SE,SE,ongoing
2026-03-07 13:49:58.731,0,1,SE,SE,ongoing
2026-03-07 13:50:00.689,0,1,SE,N/A,success
2026-03-07 13:50:06.328,1,0,SW,SW,ongoing
2026-03-07 13:50:08.286,1,0,SW,N/A,success
2026-03-07 13:50:14.841,2,0,NW,NW,ongoing
2026-03-07 13:50:20.521,2,1,NW,NW,ongoing
2026-03-07 13:50:28.758,2,2,NW,NW,ongoing
2026-03-07 13:50:30.716,2,2,NW,N/A,success
2026-03-07 13:50:36.174,3,0,N,NW,ongoing
2026-03-07 13:50:42.451,3,1,E,SW,ongoing
2026-03-07 13:50:49.645,3,2,NE,N,ongoing
2026-03-07 13:50:56.506,3,3,E,SW,ongoing
2026-03-07 13:51:02.950,3,4,E,SW,ongoing
2026-03-07 13:51:11.117,3,5,NE,N,ongoing
2026-03-07 13:51:19.770,3,6,E,SE,ongoing
2026-03-07 13:51:30.825,3,7,NE,NW,ongoing
2026-03-07 13:51:37.824,3,8,E,S,ongoing
2026-03-07 13:51:47.754,3,9,NE,N,ongoing
2026-03-07 13:51:50.227,3,10,E,N/A,failed
2026-03-07 13:51:56.670,4,0,NE,NE,ongoing
2026-03-07 13:52:02.684,4,1,NE,NE,ongoing
2026-03-07 13:52:04.643,4,1,NE,N/A,success
2026-03-07 13:52:10.850,5,0,E,S,ongoing
2026-03-07 13:52:17.183,5,1,NE,NE,ongoing
2026-03-07 13:52:19.141,5,1,NE,N/A,success
2026-03-07 13:52:25.503,6,0,SE,W,ongoing
2026-03-07 13:52:31.739,6,1,SE,W,ongoing
2026-03-07 13:52:38.433,6,2,SE,W,ongoing
2026-03-07 13:52:44.613,6,3,SE,W,ongoing
2026-03-07 13:52:53.640,6,4,SE,SW,ongoing
2026-03-07 13:53:00.112,6,5,E,SW,ongoing
2026-03-07 13:53:07.028,6,6,E,SW,ongoing
2026-03-07 13:53:16.625,6,7,E,SW,ongoing
2026-03-07 13:53:24.695,6,8,E,S,ongoing
2026-03-07 13:53:30.612,6,9,E,SW,ongoing
2026-03-07 13:53:33.097,6,10,E,N/A,failed
2026-03-07 13:53:39.208,7,0,S,W,ongoing
2026-03-07 13:53:47.263,7,1,SE,W,ongoing
2026-03-07 13:53:53.568,7,2,SE,W,ongoing
2026-03-07 13:53:59.999,7,3,SE,W,ongoing
2026-03-07 13:54:08.568,7,4,SE,SW,ongoing
2026-03-07 13:54:14.262,7,5,E,SW,ongoing
2026-03-07 13:54:20.151,7,6,E,SW,ongoing
2026-03-07 13:54:27.511,7,7,E,S,ongoing
2026-03-07 13:54:33.151,7,8,E,S,ongoing
2026-03-07 13:54:42.955,7,9,NE,NE,ongoing
2026-03-07 13:54:45.442,7,10,E,N/A,failed
