Timestamp,Point_Index,Attempt_Index,Correct_Direction,Responded_Direction,Status
2026-02-27 13:30:26.174,0,0,NE,NE,ongoing
2026-02-27 13:30:28.132,0,1,NE,N/A,success
2026-02-27 13:30:31.839,1,0,E,E,ongoing
2026-02-27 13:30:33.575,1,0,E,N/A,success
2026-02-27 13:30:36.936,2,0,S,W,ongoing
2026-02-27 13:30:42.588,2,1,SE,SE,ongoing
2026-02-27 13:30:44.546,2,2,SE,N/A,success
2026-02-27 13:30:50.697,3,0,SW,SW,ongoing
2026-02-27 13:30:52.656,3,1,SW,N/A,success
2026-02-27 13:30:55.503,4,0,S,S,ongoing
2026-02-27 13:30:57.245,4,0,S,N/A,success
2026-02-27 13:30:59.766,5,0,W,N,ongoing
2026-02-27 13:31:03.974,5,1,SW,SW,ongoing
2026-02-27 13:31:05.932,5,2,SW,N/A,success
2026-02-27 13:31:09.070,6,0,W,N,ongoing
2026-02-27 13:31:13.973,6,1,SW,SW,ongoing
2026-02-27 13:31:15.931,6,2,SW,N/A,success
2026-02-27 13:31:19.652,7,0,NW,NW,ongoing
2026-02-27 13:31:21.610,7,1,NW,N/A,success
2026-02-27 13:31:25.984,8,0,NW,NW,ongoing
2026-02-27 13:31:27.942,8,1,NW,N/A,success
2026-02-27 13:31:51.049,9,0,N,N,ongoing
2026-02-27 13:31:52.800,9,0,N,N/A,success
2026-02-27 13:31:55.951,10,0,SE,SE,ongoing
2026-02-27 13:31:57.910,10,1,SE,N/A,success
2026-02-27 13:32:00.034,11,0,N,N,ongoing
2026-02-27 13:32:01.785,11,0,N,N/A,success
2026-02-27 13:32:21.114,12,0,NE,NE,ongoing
2026-02-27 13:32:23.072,12,1,NE,N/A,success
2026-02-27 13:32:27.155,13,0,SE,SE,ongoing
2026-02-27 13:32:29.114,13,1,SE,N/A,success
2026-02-27 13:32:34.959,14,0,SW,SW,ongoing
2026-02-27 13:32:36.917,14,1,SW,N/A,success
2026-02-27 13:32:39.486,15,0,E,E,ongoing
2026-02-27 13:32:41.237,15,0,E,N/A,success
